dt,name,temp,wind_speed,pressure,humidity
1692061200,New York,298.27,5.0,1013,80
1692064800,New York,298.17,5.66,1012,82
1692068400,New York,298.03,6.14,1012,86
1692072000,New York,297.57,5.25,1012,89
1692075600,New York,297.88,4.4,1011,87
1692079200,New York,298.56,6.08,1009,85
1692082800,New York,298.0,6.25,1008,87
1692086400,New York,298.11,5.94,1007,90
1692090000,New York,298.25,7.17,1007,91
1692093600,New York,298.04,7.94,1007,93
1692097200,New York,298.44,9.07,1007,90
1692100800,New York,298.13,9.2,1007,92
1692104400,New York,297.96,8.37,1007,92
1692108000,New York,298.0,7.99,1008,91
1692111600,New York,297.82,6.96,1008,92
1692115200,New York,297.87,6.49,1008,91
1692118800,New York,298.2,4.94,1008,90
1692122400,New York,298.17,3.25,1008,89
1692126000,New York,298.08,2.28,1008,89
1692129600,New York,297.95,2.11,1009,89
1692133200,New York,297.76,3.0,1009,87
1692136800,New York,297.8,3.25,1009,84
1692140400,New York,297.7,4.74,1009,86
1692039691,New York,298.8,3.07,1015,72
1691971200,New York,299.37,6.43,1013,70
1691974800,New York,298.92,6.66,1014,71
1691978400,New York,298.47,5.96,1015,74
1691982000,New York,298.3,5.32,1015,76
1691985600,New York,298.01,4.95,1015,79
1691989200,New York,297.79,4.49,1015,80
1691992800,New York,297.7,3.66,1014,82
1691996400,New York,297.69,3.19,1014,84
1692000000,New York,297.65,3.53,1014,83
1692003600,New York,297.7,3.58,1014,82
1692007200,New York,297.9,3.38,1015,78
1692010800,New York,298.0,3.06,1015,76
1692014400,New York,297.41,2.08,1015,83
1692018000,New York,297.57,1.21,1015,83
1692021600,New York,297.91,1.1,1016,80
1692025200,New York,298.1,0.98,1016,78
1692028800,New York,298.44,1.77,1015,75
1692032400,New York,298.74,2.23,1015,72
1692036000,New York,298.62,2.95,1015,73
1692039600,New York,298.8,3.07,1015,72
1692043200,New York,298.92,3.59,1014,72
1692046800,New York,298.81,3.92,1014,76
1692050400,New York,298.77,4.17,1013,77
1692054000,New York,298.66,4.13,1013,76
1692385293,Cordoba,290.31,5.26,1015,27
1692316800,Cordoba,286.58,5.17,1012,70
1692320400,Cordoba,285.79,5.35,1014,70
1692324000,Cordoba,285.09,6.09,1014,71
1692327600,Cordoba,284.4,5.81,1014,73
1692331200,Cordoba,284.19,6.57,1014,73
1692334800,Cordoba,284.1,6.22,1014,73
1692338400,Cordoba,283.96,7.07,1014,75
1692342000,Cordoba,284.19,7.63,1013,73
1692345600,Cordoba,284.54,7.01,1013,71
1692349200,Cordoba,284.27,6.89,1013,71
1692352800,Cordoba,283.84,7.35,1014,73
1692356400,Cordoba,283.17,6.92,1016,76
1692360000,Cordoba,283.79,7.15,1017,74
1692363600,Cordoba,285.15,8.53,1017,64
1692367200,Cordoba,286.71,7.7,1018,53
1692370800,Cordoba,288.37,7.75,1018,41
1692374400,Cordoba,289.4,7.62,1017,35
1692378000,Cordoba,290.1,7.16,1016,30
1692381600,Cordoba,290.56,5.78,1016,27
1692385200,Cordoba,290.31,5.26,1015,27
1692298895,Cordoba,295.97,5.05,1007,45
1692230400,Cordoba,294.21,5.24,1009,40
1692234000,Cordoba,293.08,4.36,1009,42
1692237600,Cordoba,292.09,4.63,1010,44
1692241200,Cordoba,292.02,5.25,1010,43
1692244800,Cordoba,290.79,5.04,1009,46
1692248400,Cordoba,289.59,4.81,1010,49
1692252000,Cordoba,288.63,4.65,1010,56
1692255600,Cordoba,287.67,4.35,1009,62
1692259200,Cordoba,286.95,4.98,1009,70
1692262800,Cordoba,286.79,5.21,1009,73
1692266400,Cordoba,286.35,4.56,1009,74
1692270000,Cordoba,285.86,4.0,1010,75
1692273600,Cordoba,287.65,4.86,1010,68
1692277200,Cordoba,289.81,5.56,1010,59
1692280800,Cordoba,291.53,5.09,1010,54
1692284400,Cordoba,293.4,4.67,1010,50
1692288000,Cordoba,294.72,4.63,1009,46
1692291600,Cordoba,295.78,4.51,1008,44
1692295200,Cordoba,296.26,4.87,1007,43
1692298800,Cordoba,295.97,5.05,1007,45
1692302400,Cordoba,294.51,6.6,1007,49
1692306000,Cordoba,291.88,6.63,1008,56
1692309600,Cordoba,289.33,5.67,1010,64
1692313200,Cordoba,287.68,5.91,1011,68
1692212497,Cordoba,304.34,4.32,1004,26
1692144000,Cordoba,295.1,2.84,1005,44
1692147600,Cordoba,294.77,2.33,1005,44
1692151200,Cordoba,294.45,1.69,1006,45
1692154800,Cordoba,293.74,0.98,1006,47
1692158400,Cordoba,293.06,1.43,1006,49
1692162000,Cordoba,292.73,2.45,1006,51
1692165600,Cordoba,292.09,2.48,1005,54
1692169200,Cordoba,291.57,2.11,1005,56
1692172800,Cordoba,291.47,2.35,1005,57
1692176400,Cordoba,291.69,2.76,1005,57
1692180000,Cordoba,291.46,2.1,1006,58
1692183600,Cordoba,291.23,2.04,1007,59
1692187200,Cordoba,293.6,1.68,1007,52
1692190800,Cordoba,297.33,2.37,1007,41
1692194400,Cordoba,300.48,2.65,1007,34
1692198000,Cordoba,302.97,1.61,1007,28
1692201600,Cordoba,304.01,0.74,1006,26
1692205200,Cordoba,304.55,0.35,1005,25
1692208800,Cordoba,305.14,2.1,1004,24
1692212400,Cordoba,304.34,4.32,1004,26
1692216000,Cordoba,303.27,4.97,1004,28
1692219600,Cordoba,301.08,5.98,1005,32
1692223200,Cordoba,297.9,5.29,1006,37
1692226800,Cordoba,295.71,6.36,1008,39
1692126098,Cordoba,303.84,9.11,1002,23
1692057600,Cordoba,291.31,5.15,1012,30
1692061200,Cordoba,291.44,5.45,1012,32
1692064800,Cordoba,291.24,5.26,1012,33
1692068400,Cordoba,291.5,5.41,1012,34
1692072000,Cordoba,290.74,4.67,1011,36
1692075600,Cordoba,290.45,4.7,1011,37
1692079200,Cordoba,290.03,4.71,1010,40
1692082800,Cordoba,289.87,5.56,1009,40
1692086400,Cordoba,289.78,5.69,1009,40
1692090000,Cordoba,289.62,5.72,1008,40
1692093600,Cordoba,289.51,5.99,1008,41
1692097200,Cordoba,289.31,5.97,1008,42
1692100800,Cordoba,291.9,6.47,1008,38
1692104400,Cordoba,295.03,7.51,1008,34
1692108000,Cordoba,298.27,9.11,1007,30
1692111600,Cordoba,300.39,8.97,1006,27
1692115200,Cordoba,302.14,9.16,1005,24
1692118800,Cordoba,303.17,9.26,1004,23
1692122400,Cordoba,303.94,9.22,1003,22
1692126000,Cordoba,303.84,9.11,1002,23
1692129600,Cordoba,303.42,8.09,1002,24
1692133200,Cordoba,302.03,6.74,1002,27
1692136800,Cordoba,298.17,3.97,1003,36
1692140400,Cordoba,295.97,3.3,1004,42
1692039700,Cordoba,302.27,6.78,1010,14
1691971200,Cordoba,288.04,6.41,1017,30
1691974800,Cordoba,287.89,6.46,1017,30
1691978400,Cordoba,288.04,7.17,1017,31
1691982000,Cordoba,288.47,7.4,1017,31
1691985600,Cordoba,288.88,7.51,1016,30
1691989200,Cordoba,288.56,6.93,1016,31
1691992800,Cordoba,288.27,6.26,1015,32
1691996400,Cordoba,287.76,5.75,1015,33
1692000000,Cordoba,287.62,5.37,1014,33
1692003600,Cordoba,286.97,4.39,1014,35
1692007200,Cordoba,286.87,4.4,1014,36
1692010800,Cordoba,286.57,4.14,1014,37
1692014400,Cordoba,288.78,3.91,1014,34
1692018000,Cordoba,293.14,3.45,1014,27
1692021600,Cordoba,296.88,3.03,1014,21
1692025200,Cordoba,299.97,4.18,1013,17
1692028800,Cordoba,301.81,5.83,1012,15
1692032400,Cordoba,302.51,6.76,1011,14
1692036000,Cordoba,302.69,6.75,1010,14
1692039600,Cordoba,302.27,6.78,1010,14
1692043200,Cordoba,301.59,6.5,1010,15
1692046800,Cordoba,299.78,5.25,1010,18
1692050400,Cordoba,294.84,4.53,1011,24
1692054000,Cordoba,291.93,4.66,1011,30
1692385301,Taipei,299.64,7.83,1005,84
1692316800,Taipei,299.41,7.9,1006,82
1692320400,Taipei,299.42,7.31,1006,83
1692324000,Taipei,299.72,7.32,1006,81
1692327600,Taipei,299.73,7.48,1007,81
1692331200,Taipei,299.82,7.61,1007,80
1692334800,Taipei,299.73,7.32,1007,82
1692338400,Taipei,299.89,7.19,1007,80
1692342000,Taipei,300.12,6.88,1007,80
1692345600,Taipei,300.07,7.75,1006,81
1692349200,Taipei,299.9,8.86,1005,82
1692352800,Taipei,299.98,9.83,1004,83
1692356400,Taipei,299.9,10.56,1004,84
1692360000,Taipei,299.72,11.5,1003,86
1692363600,Taipei,299.58,11.07,1003,87
1692367200,Taipei,299.54,10.57,1004,86
1692370800,Taipei,299.5,9.19,1004,85
1692374400,Taipei,299.53,7.9,1005,85
1692378000,Taipei,299.63,7.25,1006,85
1692381600,Taipei,299.59,8.06,1006,84
1692385200,Taipei,299.64,7.83,1005,84
1692298902,Taipei,299.7,8.91,1007,83
1692230400,Taipei,299.44,7.27,1006,79
1692234000,Taipei,299.31,6.93,1007,79
1692237600,Taipei,299.42,6.86,1007,79
1692241200,Taipei,299.45,6.86,1008,79
1692244800,Taipei,299.42,7.27,1008,81
1692248400,Taipei,299.62,7.93,1009,81
1692252000,Taipei,299.56,8.28,1009,82
1692255600,Taipei,299.7,8.66,1008,81
1692259200,Taipei,299.78,9.0,1008,81
1692262800,Taipei,299.92,8.96,1007,80
1692266400,Taipei,299.98,8.91,1006,81
1692270000,Taipei,299.99,8.92,1006,82
1692273600,Taipei,300.08,8.46,1006,83
1692277200,Taipei,300.04,8.7,1006,84
1692280800,Taipei,299.86,9.13,1006,84
1692284400,Taipei,299.83,9.02,1006,84
1692288000,Taipei,299.65,9.33,1006,85
1692291600,Taipei,299.71,9.46,1007,84
1692295200,Taipei,299.69,9.65,1007,83
1692298800,Taipei,299.7,8.91,1007,83
1692302400,Taipei,299.54,8.69,1006,84
1692306000,Taipei,299.51,8.85,1006,84
1692309600,Taipei,299.36,8.95,1005,84
1692313200,Taipei,299.31,8.55,1005,83
1692212503,Taipei,299.57,8.01,1007,82
1692144000,Taipei,299.93,5.08,1004,84
1692147600,Taipei,299.9,5.37,1005,83
1692151200,Taipei,299.78,5.91,1005,85
1692154800,Taipei,299.77,6.47,1006,86
1692158400,Taipei,299.79,6.23,1006,86
1692162000,Taipei,299.76,6.42,1007,86
1692165600,Taipei,299.92,6.78,1007,85
1692169200,Taipei,299.9,7.47,1007,85
1692172800,Taipei,300.0,7.79,1006,84
1692176400,Taipei,300.02,7.53,1006,84
1692180000,Taipei,299.99,7.52,1005,84
1692183600,Taipei,299.96,7.97,1005,84
1692187200,Taipei,300.03,8.16,1005,85
1692190800,Taipei,299.86,7.96,1005,85
1692194400,Taipei,299.81,8.19,1005,85
1692198000,Taipei,299.7,8.19,1005,85
1692201600,Taipei,299.74,7.57,1006,84
1692205200,Taipei,299.68,7.29,1007,83
1692208800,Taipei,299.57,7.61,1007,82
1692212400,Taipei,299.57,8.01,1007,82
1692216000,Taipei,299.7,7.87,1006,81
1692219600,Taipei,299.71,7.46,1006,80
1692223200,Taipei,299.63,7.27,1006,80
1692226800,Taipei,299.54,7.29,1006,80
1692126105,Taipei,299.87,4.79,1005,86
1692057600,Taipei,299.94,6.06,1002,89
1692061200,Taipei,299.87,6.14,1002,89
1692064800,Taipei,299.87,6.85,1003,90
1692068400,Taipei,300.23,6.54,1003,87
1692072000,Taipei,301.47,5.97,1003,75
1692075600,Taipei,301.38,7.28,1004,75
1692079200,Taipei,301.06,7.25,1004,80
1692082800,Taipei,300.5,7.45,1004,88
1692086400,Taipei,300.31,7.74,1003,88
1692090000,Taipei,300.35,8.21,1003,89
1692093600,Taipei,300.34,8.91,1002,89
1692097200,Taipei,300.34,9.59,1001,89
1692100800,Taipei,300.33,9.06,1002,89
1692104400,Taipei,300.16,8.37,1002,90
1692108000,Taipei,300.1,6.39,1003,89
1692111600,Taipei,300.12,5.46,1004,88
1692115200,Taipei,300.07,4.71,1004,87
1692118800,Taipei,300.0,4.27,1005,87
1692122400,Taipei,299.97,4.59,1005,87
1692126000,Taipei,299.87,4.79,1005,86
1692129600,Taipei,299.75,4.96,1004,86
1692133200,Taipei,299.76,5.1,1004,85
1692136800,Taipei,299.9,4.49,1004,84
1692140400,Taipei,299.9,4.84,1004,84
1692039706,Taipei,300.0,6.39,1003,90
1691971200,Taipei,300.07,7.99,1001,89
1691974800,Taipei,300.12,7.27,1001,89
1691978400,Taipei,300.07,7.19,1002,89
1691982000,Taipei,300.1,7.61,1002,90
1691985600,Taipei,300.21,7.18,1003,90
1691989200,Taipei,300.19,7.27,1003,90
1691992800,Taipei,300.2,7.58,1003,90
1691996400,Taipei,300.09,8.06,1002,90
1692000000,Taipei,300.25,8.18,1002,90
1692003600,Taipei,300.3,8.78,1001,89
1692007200,Taipei,300.4,9.17,1000,89
1692010800,Taipei,300.4,9.6,999,89
1692014400,Taipei,300.41,10.15,999,90
1692018000,Taipei,300.27,9.97,999,90
1692021600,Taipei,300.31,9.22,1000,90
1692025200,Taipei,300.2,8.16,1000,91
1692028800,Taipei,300.24,6.72,1002,91
1692032400,Taipei,300.24,6.48,1002,91
1692036000,Taipei,300.12,6.47,1003,90
1692039600,Taipei,300.0,6.39,1003,90
1692043200,Taipei,299.92,6.62,1002,90
1692046800,Taipei,299.81,6.8,1002,90
1692050400,Taipei,299.87,6.79,1001,90
1692054000,Taipei,299.86,6.3,1001,89
1692385308,Buenos Aires,287.94,7.79,1011,63
1692316800,Buenos Aires,289.5,6.25,1008,94
1692320400,Buenos Aires,288.91,5.49,1008,94
1692324000,Buenos Aires,288.51,5.59,1009,94
1692327600,Buenos Aires,288.13,5.02,1008,95
1692331200,Buenos Aires,288.31,4.24,1008,96
1692334800,Buenos Aires,288.43,3.67,1007,97
1692338400,Buenos Aires,287.88,2.31,1008,98
1692342000,Buenos Aires,288.01,1.96,1007,99
1692345600,Buenos Aires,287.26,5.22,1008,98
1692349200,Buenos Aires,285.99,7.0,1008,98
1692352800,Buenos Aires,285.47,6.39,1009,97
1692356400,Buenos Aires,285.3,5.94,1009,97
1692360000,Buenos Aires,285.82,6.17,1010,96
1692363600,Buenos Aires,285.48,7.9,1011,94
1692367200,Buenos Aires,284.93,8.24,1011,94
1692370800,Buenos Aires,285.1,7.91,1012,91
1692374400,Buenos Aires,285.82,8.16,1011,86
1692378000,Buenos Aires,286.03,8.32,1011,81
1692381600,Buenos Aires,286.98,7.51,1011,70
1692385200,Buenos Aires,287.94,7.79,1011,63
1692298909,Buenos Aires,294.6,6.06,1006,83
1692230400,Buenos Aires,292.83,3.51,1009,88
1692234000,Buenos Aires,292.3,2.92,1009,91
1692237600,Buenos Aires,291.91,0.89,1009,92
1692241200,Buenos Aires,291.94,2.84,1009,97
1692244800,Buenos Aires,292.02,2.43,1009,96
1692248400,Buenos Aires,290.02,3.32,1010,99
1692252000,Buenos Aires,289.46,3.14,1009,98
1692255600,Buenos Aires,288.5,3.43,1008,98
1692259200,Buenos Aires,288.47,3.37,1008,98
1692262800,Buenos Aires,288.62,3.93,1010,97
1692266400,Buenos Aires,288.98,3.94,1010,98
1692270000,Buenos Aires,288.68,3.0,1011,98
1692273600,Buenos Aires,289.98,4.46,1010,98
1692277200,Buenos Aires,290.94,4.59,1008,97
1692280800,Buenos Aires,293.55,2.18,1010,88
1692284400,Buenos Aires,293.33,3.0,1009,91
1692288000,Buenos Aires,294.75,3.4,1007,84
1692291600,Buenos Aires,294.51,5.22,1006,87
1692295200,Buenos Aires,292.89,6.45,1006,92
1692298800,Buenos Aires,294.6,6.06,1006,83
1692302400,Buenos Aires,293.94,5.99,1006,85
1692306000,Buenos Aires,291.4,7.53,1006,94
1692309600,Buenos Aires,290.26,7.6,1007,93
1692313200,Buenos Aires,290.01,6.25,1007,95
1692212510,Buenos Aires,301.16,4.17,1008,51
1692144000,Buenos Aires,291.13,4.7,1011,69
1692147600,Buenos Aires,291.4,5.32,1011,67
1692151200,Buenos Aires,292.37,6.26,1011,62
1692154800,Buenos Aires,292.36,6.66,1010,62
1692158400,Buenos Aires,292.28,6.68,1010,63
1692162000,Buenos Aires,292.06,6.56,1010,65
1692165600,Buenos Aires,292.21,6.13,1010,67
1692169200,Buenos Aires,292.1,5.91,1010,69
1692172800,Buenos Aires,291.59,5.59,1009,73
1692176400,Buenos Aires,291.52,5.71,1009,76
1692180000,Buenos Aires,291.79,6.25,1010,77
1692183600,Buenos Aires,292.16,6.11,1010,78
1692187200,Buenos Aires,293.82,6.26,1010,74
1692190800,Buenos Aires,296.26,6.71,1010,66
1692194400,Buenos Aires,298.21,7.43,1010,59
1692198000,Buenos Aires,299.79,7.3,1010,53
1692201600,Buenos Aires,299.83,5.76,1009,54
1692205200,Buenos Aires,299.88,3.87,1009,55
1692208800,Buenos Aires,298.46,2.83,1008,61
1692212400,Buenos Aires,301.16,4.17,1008,51
1692216000,Buenos Aires,298.4,2.21,1008,61
1692219600,Buenos Aires,297.2,2.26,1008,64
1692223200,Buenos Aires,294.32,2.4,1008,76
1692226800,Buenos Aires,293.64,3.43,1009,82
1692126112,Buenos Aires,297.57,6.09,1009,44
1692057600,Buenos Aires,286.94,4.12,1015,57
1692061200,Buenos Aires,286.36,4.42,1015,58
1692064800,Buenos Aires,286.16,4.73,1015,59
1692068400,Buenos Aires,286.53,4.95,1015,57
1692072000,Buenos Aires,286.77,5.8,1014,56
1692075600,Buenos Aires,287.17,5.74,1014,52
1692079200,Buenos Aires,286.76,5.41,1014,51
1692082800,Buenos Aires,285.9,5.0,1014,53
1692086400,Buenos Aires,285.51,4.44,1014,55
1692090000,Buenos Aires,284.85,5.2,1014,58
1692093600,Buenos Aires,284.84,5.19,1014,59
1692097200,Buenos Aires,285.04,4.53,1014,60
1692100800,Buenos Aires,287.03,4.83,1014,56
1692104400,Buenos Aires,290.26,6.15,1014,47
1692108000,Buenos Aires,293.0,6.35,1014,42
1692111600,Buenos Aires,295.02,6.64,1013,39
1692115200,Buenos Aires,296.47,6.89,1012,38
1692118800,Buenos Aires,297.4,7.01,1011,38
1692122400,Buenos Aires,297.57,6.84,1010,40
1692126000,Buenos Aires,297.57,6.09,1009,44
1692129600,Buenos Aires,296.64,5.51,1009,48
1692133200,Buenos Aires,294.26,4.74,1010,57
1692136800,Buenos Aires,292.7,4.33,1010,63
1692140400,Buenos Aires,291.8,4.72,1010,66
1692039713,Buenos Aires,293.5,5.83,1015,43
1691971200,Buenos Aires,282.27,4.73,1020,49
1691974800,Buenos Aires,282.42,5.49,1020,47
1691978400,Buenos Aires,282.77,5.9,1019,45
1691982000,Buenos Aires,283.09,5.78,1019,44
1691985600,Buenos Aires,283.1,5.94,1019,44
1691989200,Buenos Aires,282.38,6.07,1019,46
1691992800,Buenos Aires,282.1,6.05,1018,46
1691996400,Buenos Aires,281.79,6.03,1018,46
1692000000,Buenos Aires,281.34,5.27,1018,47
1692003600,Buenos Aires,280.6,5.01,1018,48
1692007200,Buenos Aires,280.1,4.57,1018,49
1692010800,Buenos Aires,280.1,4.06,1019,51
1692014400,Buenos Aires,282.51,4.82,1019,50
1692018000,Buenos Aires,285.56,6.25,1019,44
1692021600,Buenos Aires,287.81,7.0,1019,42
1692025200,Buenos Aires,290.2,7.47,1018,39
1692028800,Buenos Aires,291.63,8.25,1017,38
1692032400,Buenos Aires,292.73,7.83,1016,37
1692036000,Buenos Aires,293.31,7.13,1015,38
1692039600,Buenos Aires,293.5,5.83,1015,43
1692043200,Buenos Aires,292.51,4.84,1015,47
1692046800,Buenos Aires,289.51,3.75,1015,57
1692050400,Buenos Aires,287.87,3.63,1015,58
1692054000,Buenos Aires,287.35,3.93,1016,58
